Eruption	Comment	SiO2	TiO2	Al2O3	FeOt	MnO	MgO	CaO	Na2O	Cr2O3	NiO	Total			
ETNA / AD 1974		50.29	1.2843	4.26	8.34	0.2059	13.62	21.58	0.6543	0.0459		100.2804			
ETNA / AD 1974		49.35	1.3792	5	8.1	0.1938	13.64	21.5	0.6358	0.0043		99.8031			
ETNA / AD 1974		47.94	1.2427	4.93	8.06	0.1969	13.46	20.9	0.547	0.0321		97.3087			
ETNA / AD 1974		50.19	1.2884	4.34	8.13	0.1938	13.61	21.28	0.6743	0.0317		99.7382			
ETNA / AD 1974		50.02	1.4215	4.16	7.96	0.2272	13.68	21.4	0.5728	0.0376		99.4791			
ETNA / AD 1974		49.18	1.266	4.33	8.14	0.1666	13.53	21.83	0.6013	0.0138		99.0577			
ETNA / AD 1974		50.15	1.2432	4.32	8.04	0.1666	13.34	21.44	0.5175	0		99.2173			
ETNA / AD 1974		50.07	1.2483	4.19	8.21	0.1666	13.58	21.25	0.6444	0		99.3593			
ETNA / AD 1974		49.42	1.2887	4.29	7.69	0.249	13.52	21.48	0.5592	0.0311		98.528			
ETNA / AD 1974		49.52	1.28965	4.215	7.76	0.1486	13.59	21.44	0.60345	0.0642		98.6309			
ETNA / AD 1974		49.68	1.2906	4.14	7.93	0.1969	13.66	21.17	0.6477	0.0515		98.7667			
ETNA / AD 1974		51.08	1.2888	4.26	8.15	0.2121	13.74	21.57	0.6408	0.0488		100.9905			
ETNA / AD 1974		49.14	1.2577	5.22	8.2	0.1878	13.78	21.41	0.6213	0.013		99.8298			
